國家/地區別,總計(千美元),1.活動物；動物產品(千美元),2.植物產品(千美元),3.動植物油脂(千美元),4.調製食品；飲料及菸酒(千美元),5.礦產品(千美元),6.化學品(千美元),7.塑膠、橡膠及其製品(千美元),8.毛皮及其製品(千美元),9.木及木製品(千美元),10.紙漿；紙及其製品；印刷品(千美元),11.紡織品(千美元),12.鞋、帽及其他飾品(千美元),13.非金屬礦物製品(千美元),14.珠寶及貴金屬製品(千美元),15.基本金屬及其製品(千美元),16.機械及電機設備(千美元),17.運輸工具(千美元),18.光學及精密儀器；鐘錶；樂器(千美元),19.其他(千美元)
102年,32630181,129658,82754,16190,224116,31818,929606,2274766,57964,40928,163468,905308,74446,265348,136150,4933847,16356427,2808336,1372396,1826654
102年 1月,2552153,12186,6130,1067,17302,2052,75508,192486,5454,2818,11745,82143,5708,22189,12754,417787,1197600,240340,93896,152986
102年 2月,2059502,6886,4462,1236,11761,11803,69029,147857,4155,2468,8960,55191,4588,17128,5792,321263,1013065,181631,79210,113016
102年 3月,2678750,9166,6852,1751,20327,1073,86297,198025,4463,3010,14076,70495,5271,21679,9683,417618,1301614,247100,118237,142013
102年 4月,2839661,8852,6821,970,18979,2285,71426,194790,5323,3795,14326,75095,5416,22021,8136,422049,1478838,229990,121751,148799
102年 5月,2987829,11239,6504,1921,23193,2395,82477,217212,5420,3694,17814,78401,8159,25460,8884,430191,1538776,241011,129685,155396
102年 6月,2749459,11229,6988,1599,20379,1388,86038,196032,5319,3669,16587,83881,6076,22772,12602,400653,1398335,214572,119458,141882
102年 7月,2864903,11286,7458,1152,19317,2275,82015,201885,6163,3572,16799,84216,7490,25185,13509,428626,1414707,254090,130687,154470
102年 8月,2887149,9594,7246,1258,18717,450,79794,188279,4140,3815,15921,80442,6862,25421,23260,428671,1491937,239325,116182,145836
102年 9月,2660556,10800,6133,1156,17220,2142,68158,175618,4048,3991,12077,77089,6013,20906,10656,393097,1351794,235271,112222,152163
102年 10月,2939014,14612,8286,1622,20277,3077,72940,197760,4545,3905,13137,74632,6345,23685,13587,445143,1480314,242683,126841,185623
102年 11月,2718116,12504,9031,708,18767,2405,77187,172977,4333,3364,11395,71053,5529,19212,11004,405700,1360132,236570,122059,174185
102年 12月,2693090,11305,6842,1750,17876,473,78739,191845,4600,2828,10631,72668,6990,19690,6284,423050,1329315,245753,102167,160283
103年,35033279,143873,94082,17906,231417,143774,1121797,2439664,58797,37138,165271,925965,87863,277978,151363,5717671,16860449,3038127,1516601,2003543
103年 1月,2668250,10475,6253,1066,16038,2144,83053,188981,5424,2927,12892,80109,6809,21651,8861,484921,1239868,227657,101213,167908
103年 2月,2164857,8626,6058,1366,13190,262,76953,160538,2780,1444,8787,60651,4396,17097,6767,345542,1049617,192835,92030,115918
103年 3月,2959959,9851,7653,2146,21409,4347,124561,211336,5300,3196,11756,72301,6186,22989,20854,445259,1445275,262895,123955,158690
103年 4月,3041795,10690,7265,1413,23065,41881,90641,218503,4820,2429,14832,74238,7012,22724,16225,476770,1493045,241077,122939,172226
103年 5月,3023713,12056,7202,951,21236,5233,121497,216025,5202,2926,15757,81224,7454,23448,8078,463121,1506557,240194,119355,166197
103年 6月,3082749,12920,9029,1180,21964,3765,85780,204600,6067,3215,17633,76573,7338,23687,11121,491108,1540782,264027,134024,167936
103年 7月,2941669,15461,8609,1738,20878,9022,83819,228407,5606,3364,16511,94798,9291,26668,9399,522561,1332898,266635,116957,169047
103年 8月,3033266,14867,8803,1858,17680,2365,93507,203905,5272,4060,15656,86451,9489,25445,17967,507205,1411433,288434,147831,171038
103年 9月,2909275,13190,7470,1413,15192,5786,87616,192418,4405,3433,12688,76183,8544,23266,10347,456525,1454892,249512,121380,165015
103年 10月,3078678,11702,8558,1099,20632,7082,99992,204240,4722,3340,12921,73651,7523,24673,11164,484927,1502424,267628,146111,186289
103年 11月,3038665,11565,9820,1645,20954,36606,83451,194825,4877,4038,12546,72740,6144,21636,10351,491348,1471598,259269,144060,181192
103年 12月,3090403,12470,7362,2031,19179,25281,90927,215886,4322,2766,13292,77046,7677,24694,20229,548384,1412060,277964,146746,182087
104年,34448479,144962,93123,16014,227776,172621,993592,2542347,60705,41667,181747,876561,98824,290734,129043,5359959,16597061,3159447,1367300,2094996
104年 1月,2892348,10627,7412,1179,17907,3889,99375,203008,5659,4596,13139,79078,6591,23984,10540,529004,1343201,244959,114154,174046
104年 2月,2495202,10971,5615,1464,13756,3704,75477,177513,4494,2642,12384,65896,4615,21307,9590,416362,1178994,225974,110953,153491
104年 3月,2967246,10543,8682,1113,19505,15262,97100,230114,3825,3177,12473,63363,6279,27447,24460,469634,1449484,248463,119568,156754
104年 4月,3080897,14960,8523,1920,23656,22103,87631,230076,4886,3356,19261,71856,7927,24518,10059,491803,1500065,273737,108531,176029
104年 5月,3087350,14278,8592,2002,23728,3212,91703,238840,6202,3630,18774,74348,9360,27864,13031,480162,1469019,286660,134323,181622
104年 6月,2830081,13509,6784,1728,18070,41342,78071,210566,6055,2495,17008,80555,9762,22447,9566,469623,1306550,260488,107629,167833
104年 7月,2973132,11368,7860,1461,19452,9245,84664,217720,5665,2792,15377,88623,10527,24805,10635,486244,1385196,288784,127650,175064
104年 8月,2851962,10652,7346,771,17102,17551,78201,208551,5501,3608,14139,75061,8831,21643,9900,438069,1366094,289239,107689,172014
104年 9月,2891652,11099,7827,676,16425,7523,80449,209785,5127,3857,16090,73701,10330,24075,6713,437255,1411821,272228,111084,185587
104年 10月,2796634,11348,6834,1612,19314,1175,72080,212397,4185,3590,14327,68799,8762,26187,8397,368825,1420192,259150,108595,180865
104年 11月,2705476,11808,10486,867,20020,4471,75735,188635,4360,3237,14301,60720,8000,20828,8809,350113,1389362,246021,106047,181656
104年 12月,2876499,13799,7162,1221,18841,43144,73106,215142,4746,4687,14474,74561,7840,25629,7343,422865,1377083,263744,111077,190035
105年,33396311,149271,92377,15383,246459,56277,1021879,2451120,55029,41418,191603,766349,94150,270547,100746,5097069,16420638,2995887,1260480,2069629
105年 1月,2699938,10956,6442,1319,18075,5923,79254,202013,4489,3092,13909,66255,8833,24106,7780,396642,1329949,240730,97564,182607
105年 2月,2128310,8468,6853,795,13117,15966,74005,158515,3552,2891,10681,51025,5197,15654,6042,303419,1047454,189679,80967,134030
105年 3月,2713409,11720,8022,1563,21554,3947,84704,222496,4685,3218,16345,62495,6606,23351,10123,426495,1282006,259091,98456,166532
105年 4月,2675365,10674,7962,1192,22056,5962,73823,203434,4099,4052,16025,65115,7739,24302,6748,390109,1321355,243244,100737,166737
105年 5月,2827897,13161,6676,1273,21244,1588,90926,205766,5103,3892,17796,62075,8122,22622,7317,434670,1395133,237806,120160,172567
105年 6月,2917685,13662,8782,1694,25106,3057,84589,214599,5010,4252,19236,74101,8492,23460,4903,467165,1408987,260365,112140,178085
105年 7月,2752143,13228,7228,1395,23346,3948,92922,197501,5098,2936,15237,63162,9002,23334,11082,418682,1348976,238123,103369,173574
105年 8月,3020753,15711,9190,1156,19876,3888,82839,223790,5213,3618,18192,75050,10184,24961,14053,455678,1488433,261554,122700,184667
105年 9月,2741541,11756,6485,938,16088,3534,70286,181223,3691,3721,12715,62412,8116,19232,9510,447334,1386907,245084,98613,153896
105年 10月,3047064,12562,7893,1425,23009,4722,90264,217718,4701,3349,16732,60623,7037,24556,8609,454146,1554555,251653,110922,192588
105年 11月,2935198,12631,9367,1561,22854,757,90249,214416,4141,2832,18466,61522,7471,23206,8573,447273,1457086,265508,100850,186435
105年 12月,2937008,14742,7477,1072,20134,2985,108018,209649,5247,3565,16269,62514,7351,21763,6006,455456,1399797,303050,114002,177911
106年,36772593,174585,98548,15972,270227,116529,1247139,2704674,53406,43621,198528,727259,99432,283083,76021,5768530,18319318,3121564,1246793,2207364
106年 1月,2816071,12627,7378,1115,20471,18906,88883,213164,4775,3221,16661,59011,6961,22763,5526,469650,1331725,245723,107178,180333
106年 2月,2323607,9401,6732,874,14781,13294,70782,188325,2738,2432,13301,44984,5171,17813,4666,371053,1139951,210241,81901,125167
106年 3月,2988046,11146,8219,1589,24864,3433,106899,236789,4021,3527,16348,62350,7233,24429,4848,483210,1465611,254970,98548,170012
106年 4月,2890199,11903,7738,1062,23593,12785,108356,221256,4733,3637,15160,52818,7811,23092,8461,432181,1449524,239847,96031,170211
106年 5月,3184760,17169,9238,1823,26774,25708,111763,253368,4760,4981,17725,67675,9902,27212,5299,535077,1489936,280237,101514,194599
106年 6月,3081181,17030,8519,1462,22337,16302,103219,227369,4419,4498,15691,67822,8674,23943,8562,487453,1545180,233985,105546,179170
106年 7月,3262139,18239,7741,1375,25214,2767,117089,222920,5111,3112,17361,66740,9644,23822,4075,550200,1622093,271535,107416,185685
106年 8月,3237604,19086,8830,1307,21848,9183,103950,228621,4899,4605,17815,71288,9134,23051,7230,522185,1600568,276811,107975,199218
106年 9月,3308500,18105,9286,1303,24208,1609,103933,234083,4254,3832,15658,67132,9270,25903,6601,493894,1684161,298169,104906,202193
106年 10月,3053823,14154,7716,878,19465,3513,94775,219527,3776,3104,16066,53339,8351,22429,6588,424259,1604501,248454,112096,190832
106年 11月,3336660,13268,10263,1659,24938,4313,116412,242380,5408,3275,19358,59563,8199,24692,7386,519489,1673408,289462,106174,207013
106年 12月,3290003,12457,6888,1525,21734,4716,121078,216872,4512,3397,17384,54537,9082,23934,6779,479879,1712660,272130,117508,202931
107年,39490380,134939,99621,18356,301113,214982,1300317,2783846,57808,37802,219289,719144,104243,317491,90512,6338190,19548403,3423864,1441274,2339186
107年 1月,3130234,10335,6961,1662,21636,3138,112647,234972,5096,3366,16614,59420,8143,27815,6683,545431,1462249,298040,112620,193406
107年 2月,2611255,8582,5948,1128,18214,31366,112720,188046,3747,3450,15522,44852,7254,22132,5320,406367,1273165,231873,86991,144578
107年 3月,3110872,9362,8514,1679,23556,1975,105253,236309,3368,2541,15667,53082,7316,29055,8866,508533,1521163,288521,115902,170210
107年 4月,2965794,8082,7632,1079,23994,17128,120423,221643,3888,2367,17489,53898,8154,23202,8128,467486,1422981,276904,108872,172444
107年 5月,3619173,11605,9843,1950,32356,53921,109994,263379,4780,3716,20474,62425,9565,30043,8988,612562,1721139,329366,125951,207116
107年 6月,3261852,12826,8636,1241,29545,19600,113821,230645,5119,3188,18197,71944,9246,27240,6323,532170,1584206,273246,124144,190515
107年 7月,3319398,13780,7882,1446,26806,16959,103950,231227,4813,3111,19237,63963,8957,25901,6578,550608,1661264,272056,114452,186408
107年 8月,3314836,11504,8845,1336,24016,19318,115174,233418,5033,3161,18989,67069,9415,26408,6768,548601,1604192,297441,122153,191995
107年 9月,3609833,13080,8221,1725,25177,34152,112850,233998,4864,3177,17908,67616,8434,25267,10812,554500,1820429,311675,132808,223140
107年 10月,3362966,13303,9324,1521,24331,10030,100407,239362,5006,2768,19248,58814,7579,27591,9415,516366,1697498,281292,129409,209702
107年 11月,3467018,10826,9108,1764,27129,4751,86649,228177,5096,3655,21442,55694,9410,26020,6123,536894,1783236,290390,139457,221197
107年 12月,3717149,11654,8707,1825,24353,2644,106429,242670,6998,3302,18502,60367,10770,26817,6508,558672,1996881,273060,128515,228475
108年,46247108,146444,106651,18545,345926,143366,1149725,2912792,129674,39432,245484,700531,108105,367280,131879,6087714,25691168,3564127,1672383,2685882
108年 1月,3792700,10924,8543,1439,24844,31421,89166,251099,6795,3552,18273,59540,9267,28089,10225,609379,1960478,320204,126166,223296
108年 2月,2886863,7228,5948,800,18102,9595,79545,188495,5695,2427,14735,43946,7288,25410,6038,387757,1592319,237113,100622,153800
108年 3月,3906914,11090,10249,1763,29399,4609,91363,267896,9083,3776,19598,55216,9348,33134,10016,571080,2143946,290264,132110,212974
108年 4月,3599584,11076,8258,1170,26207,20955,80279,246127,8240,3913,21232,60043,9109,29234,9804,525742,1917736,295744,117110,207605
108年 5月,3909940,11348,8478,1603,31113,14081,100269,250837,9621,3368,23362,64251,9846,30554,7127,545529,2141766,298698,141562,216527
108年 6月,3891911,14478,10068,1454,35482,9717,116605,252741,11456,3429,22190,65315,10355,32767,10222,538459,2078395,310779,139800,228199
108年 7月,4042458,13620,9810,1837,32820,12162,87299,254282,12721,3611,22443,71510,9626,32221,11413,546884,2233903,296681,152732,236883
108年 8月,4081275,12283,9603,1540,28262,13144,125501,233868,12366,3107,19250,65688,9594,33512,11408,497258,2308336,310835,153663,232057
108年 9月,3915766,13176,8275,1952,27011,7939,98422,234724,13654,2867,19655,57479,8387,30140,12109,479840,2208003,292472,159636,240025
108年 10月,3964911,13350,9798,1023,30217,8367,101890,235780,14061,2827,22227,52545,7994,31755,17714,441148,2283015,292410,146465,252325
108年 11月,4051067,14545,9374,2235,32711,4186,88805,240332,12659,3156,19479,49961,8543,31890,13093,442797,2396309,290528,147860,242604
108年 12月,4203719,13326,8247,1729,29758,7190,90581,256611,13323,3399,23040,55037,8748,28574,12710,501841,2426962,328399,154657,239587
109年,50549921,127655,99765,17911,421972,120785,1273809,3088346,97473,42571,219149,684349,85479,374474,190089,5799418,29258283,3504041,1813127,3331225
109年 1月,3833745,13292,8155,1500,27450,6104,95890,243668,13628,3028,19943,55546,9596,30431,18749,510623,2131056,278967,137102,229017
109年 2月,3407355,11693,7846,1154,24166,15921,96926,221186,8503,1907,17839,42046,5609,29205,13763,404232,1932350,265144,126041,181824
109年 3月,3776743,11584,8617,1222,34829,29075,100466,264304,8428,4025,23525,47696,7554,29190,14767,517355,2057751,269984,133289,213082
109年 4月,3649285,6212,5692,1040,29058,17185,112731,238138,5727,3687,16683,46643,7005,24896,11885,458904,2113963,220584,134815,194437
109年 5月,4269708,8930,7560,1292,34159,11512,119601,241075,6366,3683,16502,60318,7370,28202,12111,477027,2587289,259656,150271,236784
109年 6月,4028784,9784,7647,1631,35297,3936,93126,233219,7539,2928,14952,59410,7635,26999,15598,436077,2417364,261670,149248,244724
109年 7月,4353939,9725,8345,2021,40915,8402,89363,268247,7001,3321,16920,66898,7196,32212,17700,472991,2571201,295013,152337,284131
109年 8月,4648074,12127,9954,1886,44199,4642,114412,274129,8254,4621,18039,67227,6950,35553,15093,505977,2698057,339046,154249,333659
109年 9月,4483042,9256,8436,1449,33940,6743,118855,254038,7616,3836,18284,62601,6920,33379,10337,479153,2634451,324275,148001,321472
109年 10月,4812441,12999,9109,1550,39926,4312,101055,285669,8429,4248,20011,59554,7859,35233,22069,510193,2808315,352158,165798,363954
109年 11月,4766720,11074,11139,1775,44593,6868,113858,294550,7133,3692,19937,60606,5964,35223,26351,534304,2664647,339245,200259,385502
109年 12月,4520085,10979,7265,1391,33440,6085,117526,270123,8849,3595,16514,55804,5821,33951,11666,492582,2641839,298299,161717,342639
110年,65685966,166115,138849,18748,588709,262481,1708279,3872734,139452,50789,268478,819152,113943,446308,181508,8470499,36810792,4660321,2221284,4747525
110年 1月,4671537,12332,9295,1702,33751,11250,128950,266371,9370,3918,16154,59775,6881,36487,14149,571079,2596939,340772,172388,379974
110年 2月,3910225,8159,8590,683,27356,18702,99457,225186,7957,2850,15688,53049,6666,33375,12565,480927,2137058,309603,151626,310728
110年 3月,5084893,13530,10151,1000,44024,5228,146888,311945,8051,4010,22663,61411,8686,42326,11586,634856,2777473,385426,179277,416362
110年 4月,4928785,13779,9851,1270,48449,5708,140794,314361,8831,3660,19711,57348,7906,33425,16639,590756,2724578,379767,166958,384994
110年 5月,5435771,15918,11331,1356,58617,63344,142698,335187,11865,3814,26221,67784,8336,34415,18117,682748,2978427,363415,180583,431595
110年 6月,5420457,16619,11218,2835,60407,75469,134723,349758,10784,4777,23349,74066,11063,41281,23049,700021,2949529,382582,167195,381732
110年 7月,5574126,14257,13219,1595,56922,20714,134475,323350,11536,3948,21669,75805,11003,34738,16653,756394,3140658,405615,158820,372755
110年 8月,5994154,12547,13317,1190,57431,10036,157818,356377,16164,5690,27065,85297,11175,44353,18948,766984,3383456,412239,196244,417823
110年 9月,5986684,12740,12952,1657,48034,11308,182151,352590,12471,3895,23731,76857,11146,38467,15453,749159,3365243,428959,240127,399744
110年 10月,6219149,16721,12738,2133,53994,4277,155881,338714,16567,4134,21258,66855,10350,35017,11812,833580,3606044,394867,193188,441019
110年 11月,6634614,16833,15850,1587,57135,5062,152341,416036,13023,6370,27870,74989,11988,42023,10467,990721,3654619,459827,218325,459548
110年 12月,5825571,12680,10337,1740,42589,31383,132103,282859,12833,3723,23099,65916,8743,30401,12070,713274,3496768,397249,196553,351251
111年,75052059,149612,131504,25174,601875,335302,2082080,3981532,156891,52737,299336,791184,125773,415386,112503,9482499,44587629,5987831,2539462,3193749
111年 1月,6268224,14854,9621,2123,46182,32742,174353,353723,17359,4863,24891,73638,12073,33989,9230,919048,3428555,548707,218043,344230
111年 2月,5486591,11836,10509,1628,42403,38960,134284,363731,14904,5407,22538,66589,9102,34933,8740,721301,3050871,500174,162399,286282
111年 3月,6942220,12421,11006,3473,63853,21126,172701,387641,15094,5416,29158,64595,12086,40788,11174,900842,4044618,627500,212145,306583
111年 4月,6236603,13541,9624,1974,53519,6996,184791,350904,14899,5013,25151,69945,9498,38355,11371,808295,3639279,490774,230749,271925
111年 5月,6280273,13452,13209,2960,61067,34407,188042,356970,14645,4018,29933,74223,14217,39763,10460,843543,3516460,586090,185997,290817
111年 6月,6937451,12064,11951,2353,58236,117463,189563,399665,16127,4430,30244,85166,11396,40954,9706,875200,3928672,663570,201983,278708
111年 7月,6955376,12746,11750,1075,46783,29664,253877,339271,14499,4258,26691,77848,11200,36309,10933,872189,4159779,545112,232932,268460
111年 8月,6125175,12787,10864,1874,44160,5098,166039,320628,14735,3283,28011,68452,11896,32374,8558,828612,3631388,447302,238185,250929
111年 9月,5859421,10813,10410,2124,50015,14197,158266,299648,9427,3704,23387,61178,10060,31006,9560,705253,3581602,424653,215199,238919
111年 10月,6412398,13638,12358,2588,51895,11876,189054,275269,7890,3481,20218,50352,10210,28023,6292,690123,4180418,399267,231206,228240
111年 11月,5876413,11405,11801,2126,46843,6267,126310,274620,8392,4667,21124,51749,8216,28005,10625,690077,3735423,406029,205637,227097
111年 12月,5671914,10055,8401,876,36919,16506,144800,259462,8920,4197,17990,47449,5819,30887,5854,628016,3690564,348653,204987,201559
112年,76234038,138387,131876,19850,604147,403755,1926638,3112327,103093,41728,252123,594744,84868,367668,105851,6923112,52418686,4126326,2282183,2596676
112年 1月,5363014,11226,9493,2314,39841,27312,171275,272198,10508,4466,20796,50405,8047,27231,3551,691079,3207810,397718,197434,210310
112年 2月,4732625,8925,8407,950,31683,45635,282987,196218,6248,3544,16907,37374,5013,24363,5768,479019,2959308,297875,172834,149567
112年 3月,5502593,10765,9746,1858,46906,62441,126229,244702,6386,3380,21978,44791,6345,31969,5015,580127,3559217,341175,201729,197834
112年 4月,5593391,11959,11730,1772,53957,70563,135388,275056,7442,3950,22417,52273,7335,31900,7473,570524,3556739,374866,184441,213606
112年 5月,6073690,11697,12314,1758,65674,44225,124226,298635,11282,3481,24155,56816,7234,36926,14084,638003,3897824,398894,192731,233731
112年 6月,5194364,12207,10821,1340,57108,30682,135260,256107,7015,2751,16863,56231,7851,29020,9050,546950,3277589,318561,192970,225988
112年 7月,6725402,11444,12813,1810,50922,39177,156614,254580,10098,2881,20026,56711,7806,28938,10698,571053,4713268,325187,232899,218477
112年 8月,6658924,12546,12261,1489,54315,28538,169076,288664,9499,3142,22937,58638,8345,35915,8173,575837,4556215,365557,188820,258957
112年 9月,6897116,12420,12091,1533,45023,50270,253918,249642,8389,3385,21049,44292,7483,30279,10074,552961,4844977,332703,187317,229310
112年 10月,7181631,12214,10024,1378,48693,3061,105303,247150,8842,3512,21258,41825,5796,30491,10370,501470,5460909,315220,150044,204071
112年 11月,7822063,11549,11610,1822,55637,581,127650,256061,6475,3769,22753,46762,7689,29731,12710,559589,5936090,322880,187011,221694
112年 12月,8489225,11435,10566,1826,54388,1270,138712,273314,10909,3467,20984,48626,5924,30905,8885,656500,6448740,335690,193953,233131
113年 (1~11月),101525200,139410,118082,22150,541541,340641,1764296,2910848,90833,46695,233724,558367,72729,380528,115407,6436777,80048452,3420121,2010597,2274002
113年 1月,8396575,13122,10306,1622,47642,17243,134062,258014,7459,4653,24028,47732,6390,32242,8470,610230,6400815,366905,190871,214769
113年 2月,7112061,8109,6592,1448,32626,52257,128737,200695,6977,3112,15591,34449,3934,31484,6860,472975,5561246,230486,148998,165485
113年 3月,9116219,11985,12188,2094,53483,69755,171753,279356,6943,3576,21059,47409,7319,37250,14054,604018,7074718,304285,179586,215388
113年 4月,10155247,10922,10180,2192,51403,29707,147828,263338,7807,2926,23170,45280,5994,30006,12277,569236,8289221,297864,159606,196290
113年 5月,8280703,12399,11021,2059,55741,79022,191273,284230,8321,4233,23264,57418,7293,33223,12496,628485,6168444,306592,171790,223399
113年 6月,9049558,15783,11979,2243,57135,49743,161411,288821,10437,5816,24186,57699,7547,36814,10205,604853,6938817,330023,220857,215189
113年 7月,11451400,13210,10570,2045,50268,17515,185505,252959,9093,3532,18570,56976,7621,34063,9437,581944,9507094,286550,198819,205629
113年 8月,11882797,13445,12719,2073,52334,13511,208393,309228,10857,5022,22968,68132,7723,42380,8090,669631,9618446,383022,202372,232451
113年 9月,8780827,13210,8984,1733,41644,1346,173770,250127,8921,5229,18510,47921,6018,33641,13229,554794,6891538,320625,186896,202691
113年 10月,8649719,12601,10905,2439,46993,8550,129010,253296,5516,3539,19361,45188,6058,35027,10465,541192,6879995,276356,164993,198235
113年 11月,8650094,14624,12638,2202,52272,1992,132554,270784,8502,5057,23017,50163,6832,34398,9824,599419,6718118,317413,185809,204476
